"siteID","b","confMin","confMax","collectDate","latitude"
"MART",-1.32390525068869,-1.32790525068869,-1.31990525068869,2018-07-16 22:22:00,45.79125
"MART",-1.35948766748666,-1.36148766748666,-1.35748766748666,2018-10-09 16:33:00,45.79125
"MART",-1.28278409617274,-1.28778409617274,-1.27778409617274,2019-04-24 17:15:00,45.79125
"MART",-1.24712807809086,-1.25112807809086,-1.24312807809086,2019-07-17 18:06:00,45.79125
"MART",-1.34607661130365,-1.35107661130365,-1.34107661130365,2019-09-30 16:59:00,45.79125
"MAYF",-1.43350022274704,-1.44350022274704,-1.42350022274704,2017-03-14 14:11:00,32.95966
"MAYF",-1.47175686053756,-1.48375686053756,-1.45975686053756,2017-07-20 14:37:00,32.95966
"MAYF",-1.48348463557683,-1.49748463557683,-1.46948463557683,2017-10-30 14:53:00,32.95966
"MAYF",-1.47906571034645,-1.49006571034645,-1.46806571034645,2018-03-26 14:50:00,32.95966
"MAYF",-1.40086519192868,-1.40986519192868,-1.39186519192868,2018-07-26 14:17:00,32.95966
"MAYF",-1.29713150833054,-1.30613150833054,-1.28813150833054,2018-10-29 14:45:00,32.95966
"MAYF",-1.33535523954655,-1.34535523954655,-1.32535523954655,2019-03-11 15:00:00,32.95966
"MAYF",-1.39409475042352,-1.40709475042352,-1.38109475042352,2019-07-29 12:44:00,32.95966
"MAYF",-1.41800810077333,-1.42800810077333,-1.40900810077333,2019-11-14 14:56:00,32.95966
"MCDI",-1.30016259930104,-1.30316259930104,-1.29716259930104,2017-03-28 17:20:00,38.94428
"MCDI",-1.06088300660927,-1.06988300660927,-1.05188300660927,2017-07-07 13:46:00,38.94428
"MCDI",-1.38943285901832,-1.39443285901832,-1.38443285901832,2017-10-06 14:06:00,38.94428
"MCDI",-1.17468531592502,-1.18168531592502,-1.16768531592502,2018-03-27 13:30:00,38.94428
"MCDI",-1.20821321199855,-1.21121321199855,-1.20521321199855,2018-07-11 13:57:00,38.94428
"MCDI",-1.28295871047803,-1.28495871047803,-1.28095871047803,2018-10-03 14:35:00,38.94428
"MCDI",-1.24814071755998,-1.25114071755998,-1.24514071755998,2019-04-05 13:49:00,38.94428
"MCDI",-1.22816354671566,-1.23116354671566,-1.22516354671566,2019-07-10 15:19:00,38.94428
"MCDI",-1.21158046647542,-1.21658046647542,-1.20658046647542,2019-10-04 14:02:00,38.94428
"MCRA",-1.26203358783867,-1.26703358783867,-1.25703358783867,2017-08-01 14:30:00,44.2596
"MCRA",-1.25284158980308,-1.25884158980308,-1.24684158980308,2017-09-25 16:42:00,44.2596
"MCRA",-1.24643878505621,-1.25243878505621,-1.24143878505621,2018-04-30 15:48:00,44.2596
"MCRA",-1.31773837936952,-1.32073837936952,-1.31473837936952,2018-07-23 18:16:00,44.2596
"MCRA",-1.35356089951107,-1.35656089951107,-1.35056089951107,2018-09-24 21:56:00,44.2596
"MCRA",-1.23449844886488,-1.24249844886488,-1.22649844886488,2019-05-29 17:12:00,44.2596
"MCRA",-1.26574118468025,-1.27374118468025,-1.25774118468025,2019-07-31 16:57:00,44.2596
"MCRA",-1.13470763280261,-1.14570763280261,-1.12370763280261,2019-09-25 16:21:00,44.2596
"OKSR",-1.42884244992298,-1.43584244992298,-1.42184244992298,2017-06-07 21:21:00,68.66975
"OKSR",-1.13995308167773,-1.14495308167773,-1.13495308167773,2017-07-19 19:44:00,68.66975
"OKSR",-1.30497844399938,-1.31497844399938,-1.29497844399938,2017-08-07 20:05:00,68.66975
"OKSR",-1.34619531077055,-1.35419531077055,-1.33819531077055,2018-06-16 19:39:00,68.66975
"OKSR",-1.41975438649583,-1.42675438649583,-1.41275438649583,2018-07-09 18:31:00,68.66975
"OKSR",-1.23490167594889,-1.24290167594889,-1.22690167594889,2018-08-15 18:41:00,68.66975
"OKSR",-1.54207710967695,-1.55907710967695,-1.52507710967695,2019-05-29 20:45:00,68.66975
"OKSR",-1.08270337968499,-1.09170337968499,-1.07370337968499,2019-07-11 18:04:00,68.66975
"OKSR",-1.31659068281643,-1.32459068281643,-1.30859068281643,2019-08-12 23:02:00,68.66975
"POSE",-1.36664591889583,-1.37064591889583,-1.36264591889583,2017-03-17 13:03:00,38.89332
"POSE",-1.28924978978404,-1.29324978978404,-1.28524978978404,2017-07-17 13:10:00,38.89332
"POSE",-1.39387008450064,-1.39787008450064,-1.38987008450064,2017-10-23 12:44:00,38.89332
"POSE",-1.32621487513379,-1.32921487513379,-1.32321487513379,2018-03-16 13:19:00,38.89332
"POSE",-1.32631346564626,-1.32931346564626,-1.32331346564626,2018-07-16 13:21:00,38.89332
"POSE",-1.32809720875514,-1.33109720875514,-1.32509720875514,2018-11-05 15:10:00,38.89332
"POSE",-1.27044942840918,-1.27344942840918,-1.26744942840918,2019-03-26 13:26:00,38.89332
"POSE",-1.30017191290043,-1.30417191290043,-1.29617191290043,2019-07-15 14:02:00,38.89332
"POSE",-1.38062776234977,-1.38862776234977,-1.37262776234977,2019-11-04 15:02:00,38.89332
"PRIN",-1.37225042891928,-1.37325042891928,-1.37125042891928,2017-02-20 17:30:00,33.37859
"PRIN",-1.29458698641873,-1.29658698641873,-1.29258698641873,2017-07-03 14:22:00,33.37859
"PRIN",-1.37541015064762,-1.37741015064762,-1.37341015064762,2017-10-23 16:15:00,33.37859
"PRIN",-1.3093346958006,-1.3113346958006,-1.3073346958006,2018-02-19 15:54:00,33.37859
"PRIN",-1.48266740657825,-1.49066740657825,-1.47466740657825,2018-10-30 16:12:00,33.37859
"PRIN",-1.33555608052976,-1.33755608052976,-1.33355608052976,2019-02-19 15:33:00,33.37859
"PRIN",-1.29484606976318,-1.29684606976318,-1.29284606976318,2019-07-02 14:54:00,33.37859
"PRIN",-1.36033887687021,-1.36333887687021,-1.35733887687021,2019-10-22 14:33:00,33.37859
"REDB",-1.30837521859595,-1.31037521859595,-1.30637521859595,2018-03-29 17:56:00,40.78374
"SYCA",-1.27231740180175,-1.27431740180175,-1.27031740180175,2019-04-18 15:41:00,33.74906
"WLOU",-1.30431942117611,-1.30631942117611,-1.30231942117611,2017-05-30 16:33:00,39.89137
